can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,Tot_Mon,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"KINGSON, ERIC R. MR.",H,DEM,CHALLENGER,NY,306197.75,,306197.75,308757.07,,1269.65,295834.02,7/1/2015,9/30/2016,,
"KRAUS, STEVEN WAYNE MR.",H,REP,CHALLENGER,OH,,,0.00,,,,,1/1/2015,9/30/2016,,
"KROEGER, GARY",H,DEM,CHALLENGER,IA,78644.63,,78644.63,76269.26,,2375.37,74269.26,4/1/2015,9/30/2016,,
"KUNDRATA, FREDERICK LOUIS III",H,DEM,CHALLENGER,OH,23904.25,,23904.25,30413.89,7293.87,784.23,30413.89,1/1/2015,9/30/2016,,
"LARSEN, DAVID MR.",H,REP,CHALLENGER,NJ,37935.76,,37935.76,191257.16,,83669.80,187360.76,1/1/2015,9/30/2016,,
"LASCHOBER, DANIEL",S,REP,CHALLENGER,OR,5345.00,,5345.00,17344.00,,,8754.00,7/24/2015,9/30/2016,,
"LAW, ALEXANDER",H,DEM,CHALLENGER,NJ,74917.98,,74917.98,82783.98,1496.96,230.96,81319.55,1/1/2015,9/30/2016,,
"LAWRENCE, MARY",H,DFL,CHALLENGER,MN,410025.89,,410025.89,1547919.79,,33371.90,855329.79,1/1/2015,9/30/2016,,
"LEBECK, JASON MR.",H,LIB,CHALLENGER,WI,555.48,,555.48,468.89,,86.59,468.89,1/1/2016,9/30/2016,,
"LEE, SUSIE",H,DEM,CHALLENGER,NV,994633.58,,994633.58,1651680.38,,,1492159.89,4/1/2015,9/30/2016,,
"LEE, YUNGMAN F",H,DEM,CHALLENGER,NY,416868.27,,416868.27,419868.27,,,416868.27,10/1/2015,9/30/2016,,
"LEVENE, ALLAN MR.",H,REP,CHALLENGER,TN,5295.00,,5295.00,11600.65,137.61,,10732.17,1/1/2016,9/30/2016,,
"LI, LINDY",H,DEM,CHALLENGER,PA,509228.63,,509228.63,304104.13,,177252.10,291310.88,4/1/2015,9/30/2016,,
"LLOP, WILLIAM",H,REP,CHALLENGER,GA,1690.00,,1690.00,156799.49,3166.67,4307.18,156209.39,1/1/2015,9/30/2016,,
"LLOYD, JAMES",H,REP,CHALLENGER,TX,126470.83,,126470.83,167585.79,,14935.00,167585.79,12/14/2015,9/30/2016,,
"LOPEZ-CANTERA, CARLOS",S,REP,CHALLENGER,FL,1251308.00,,1251308.00,1251357.00,,,1062396.00,7/1/2015,9/30/2016,,
"LUSTER, REGINALD",S,DEM,CHALLENGER,FL,31323.05,,31323.05,30803.00,,2111.00,29768.00,4/1/2016,9/30/2016,,
"LYNCH, MATT",H,REP,CHALLENGER,OH,232647.22,55997.77,288644.99,291219.50,,5609.70,223757.02,1/1/2015,9/30/2016,,
"LYNN, ERIC",H,DEM,CHALLENGER,FL,767379.36,,767379.36,645758.20,,122097.16,161308.20,4/1/2015,9/30/2016,,
"MAHN, DANIEL TODD",H,REP,CHALLENGER,MO,15425.00,,15425.00,12164.54,5050.00,-755.14,12123.46,4/1/2016,9/30/2016,,
"MANTANONA, NICHOLAS BRENT MR.",H,IND,CHALLENGER,TN,2.00,,2.00,,,2.00,,4/1/2016,9/30/2016,,
"MARTER, JAMES THOMAS",S,REP,CHALLENGER,IL,32697.00,,32697.00,71838.00,,39.00,70627.00,10/1/2015,9/30/2016,,
"MAXWELL, CHIP",H,REP,CHALLENGER,NE,101770.97,,101770.97,113914.87,,-2143.90,113914.87,3/1/2015,9/30/2016,,
"MCCARTER, KYLE",H,REP,CHALLENGER,IL,341486.34,,341486.34,494036.66,,4145.58,404977.07,10/1/2015,9/30/2016,,
"MCCONNELL, JONATHAN EDWARD",S,REP,CHALLENGER,AL,863893.00,,863893.00,940554.00,,15.00,781680.00,10/25/2015,9/30/2016,,
"MCDEVITT, DAVID MALCOLM MR",H,DEM,CHALLENGER,WA,15262.85,,15262.85,113923.79,,1339.06,31423.79,10/1/2015,9/30/2016,,
"MCGOVERN, JAMES JOSEPH",H,DEM,CHALLENGER,FL,50116.53,,50116.53,72141.31,,-1945.22,69361.75,4/1/2016,9/30/2016,,
"MCTEAGUE, DAVE",H,DEM,CHALLENGER,OR,30556.88,,30556.88,70712.85,,-25655.97,66962.85,1/1/2016,9/30/2016,,
"MELUSKEY, ALEXANDER",S,REP,CHALLENGER,AZ,112176.00,,112176.00,888489.00,,-1878.00,871427.00,1/1/2015,9/30/2016,,
"MERCADO, JUAN CARLOS",H,DEM,CHALLENGER,CA,,,0.00,7344.03,,755.97,7344.03,4/1/2016,9/30/2016,,
"MINIEAR, J D",H,REP,CHALLENGER,IN,2069.00,,2069.00,4476.00,,,3758.00,11/17/2015,9/30/2016,,
"MODICA, JULIEN",H,DEM,CHALLENGER,VA,3025.00,540361.26,543386.26,2018.00,,548368.26,2018.00,10/19/2015,9/30/2016,,
"MOLESEVICH, MIKE",H,DEM,CHALLENGER,PA,45859.14,,45859.14,47309.15,,-11770.46,47309.15,4/1/2016,9/30/2016,,
"MOONEY, PATRICK",H,REP,CHALLENGER,FL,244698.96,,244698.96,444140.43,,558.53,172320.91,1/1/2016,9/30/2016,,
"MORGAN, DELINDA",H,REP,CHALLENGER,OR,465.00,,465.00,741.00,,-276.00,,1/1/2015,9/30/2016,,
"MORRISON, TERRANCE",H,DEM,CHALLENGER,MI,200.00,,200.00,10200.00,,-5170.00,10200.00,7/1/2015,9/30/2016,,
"MOSS, RICHARD MARC",H,REP,CHALLENGER,IN,30255.00,,30255.00,56640.12,,1614.88,56640.12,10/1/2015,9/30/2016,,
"MURPHY, WILLIAM JOHN",H,REP,CHALLENGER,TX,6970.00,,6970.00,7183.15,,,7074.20,7/1/2015,9/30/2016,,
"NATIVIDAD, JERRY",S,REP,CHALLENGER,CO,19916.00,,19916.00,163111.00,,7303.00,138411.00,1/1/2016,9/30/2016,,
"NAZARINO, SCOTT",S,REP,CHALLENGER,WA,938.00,,938.00,10873.00,40.00,133.00,10873.00,4/1/2016,9/30/2016,,
"NEHLEN, PAUL III",H,REP,CHALLENGER,WI,1465724.97,,1465724.97,1403390.56,,167864.69,1391460.28,4/1/2016,9/30/2016,,
"NORRIS, CHARLES H",H,DEM,CHALLENGER,CO,9691.68,,9691.68,17715.94,3470.35,-553.91,17715.94,1/1/2015,9/30/2016,,
"O'MALLEY, THOMAS JOSEPH",H,REP,CHALLENGER,MA,15701.65,,15701.65,21632.59,50.00,1119.06,19362.98,1/1/2016,9/30/2016,,
"ORMAN, GREGORY JOHN",S,IND,CHALLENGER,,88280.00,,88280.00,104477.00,1036.00,,89316.00,1/1/2015,9/30/2016,,
"PAINTER, HAROLD WALTON JR",H,REP,CHALLENGER,MD,22075.00,,22075.00,22075.00,,,22075.00,1/1/2015,9/30/2016,,
"PALSSON, NILS",H,DEM,CHALLENGER,CA,10240.59,,10240.59,10240.59,,,10240.59,1/1/2016,9/30/2016,,
"PAPPAS, GEORGE STEVE",H,DEM,CHALLENGER,FL,43585.84,,43585.84,46478.85,,168.49,42205.70,10/28/2015,9/30/2016,,
"PARRA, DANIEL",H,DEM,CHALLENGER,CA,71143.07,,71143.07,70585.23,,567.60,69467.28,1/1/2015,9/30/2016,,
"PATE, AVA",H,REP,CHALLENGER,TX,4667.47,,4667.47,4312.83,,354.64,4312.83,12/5/2015,9/30/2016,,
"PATTERSON, WILLIAM RALPH",H,REP,CHALLENGER,TX,6580.00,,6580.00,405510.01,,3523.45,402897.86,12/14/2015,9/30/2016,,
"PATTY, BRANDON JOEL",H,REP,CHALLENGER,FL,151347.37,,151347.37,139287.12,,12060.25,116457.12,1/6/2016,9/30/2016,,
"PAWLOWSKI, ED",S,DEM,CHALLENGER,PA,423619.88,,423619.88,437438.68,,89.00,123617.68,4/1/2015,9/30/2016,,
"PEREZ, FRANK",H,DEM,CHALLENGER,FL,11790.00,,11790.00,12553.01,,99236.99,12553.01,8/4/2015,9/30/2016,,
"PERKINS, JO RAE",H,REP,CHALLENGER,OR,4734.25,122.36,4856.61,4905.78,,242.85,4833.09,7/1/2015,9/30/2016,,
"PHELPS, TODD",H,REP,CHALLENGER,TX,,,0.00,26964.00,,-569.00,24910.00,10/1/2015,9/30/2016,,
"RAB, AEJAZ (RAJI)",H,DEM,CHALLENGER,CA,83851.00,,83851.00,136871.82,,1978.52,128371.82,3/1/2015,9/30/2016,,
"RATHS, GREGORY G",H,REP,CHALLENGER,CA,114867.75,,114867.75,193146.66,21914.00,19487.02,167095.34,10/4/2014,9/30/2016,,
"REYNOLDS, ROGER",H,REP,CHALLENGER,OH,132783.31,,132783.31,158162.01,,44703.99,56924.32,7/1/2015,9/30/2016,,
"REYNOLDS, STEVEN",H,DEM,CHALLENGER,TN,33220.20,,33220.20,47821.61,,2051.88,42271.61,4/1/2016,9/30/2016,,
"RIVERA, ERNESTO J",S,REP,CHALLENGER,FL,2977.00,,2977.00,296257.00,,,83301.00,11/12/2015,9/30/2016,,
"ROBERTSON, TERRY",H,REP,CHALLENGER,OH,2355.89,,2355.89,3534.01,,-978.12,3225.36,1/1/2015,9/30/2016,,
"ROBSINSON, VERNON",H,REP,CHALLENGER,NJ,92544.77,,92544.77,93083.77,,,91244.77,1/1/2016,9/30/2016,,
"RODKIN ROTERING, NANCY",H,DEM,CHALLENGER,IL,1163964.77,,1163964.77,1508745.76,,1490.75,1369795.93,1/1/2015,9/30/2016,,
"RODRIGUEZ, JUNIUS",H,DEM,CHALLENGER,IL,51827.91,,51827.91,42697.76,,9130.15,42297.76,4/1/2016,9/30/2016,,
"ROLLE, DANIEL",H,DEM,CHALLENGER,NV,6036.33,,6036.33,7873.21,,-1375.81,7642.86,1/1/2016,9/30/2016,,
"ROSENBERG, MIKHAIL OLIVER",H,DEM,CHALLENGER,NY,77509.88,,77509.88,429089.36,,120.52,429089.36,1/1/2016,9/30/2016,,
"ROUCO, GEORGE",H,REP,CHALLENGER,NC,74114.75,,74114.75,80119.49,,1791.36,74093.39,7/1/2015,9/30/2016,,
"SANDERS, JAMES JR",H,DEM,CHALLENGER,NY,73454.00,,73454.00,42016.70,,31437.30,17177.20,12/2/2015,9/30/2016,,
"SANTIAGO, DAVID",H,REP,CHALLENGER,FL,157610.47,,157610.47,112405.31,,45205.16,104305.31,1/1/2016,9/30/2016,,
"SANYAL, ARUNAVA RON""""",H,DEM,CHALLENGER,NC,10975.00,,10975.00,11469.00,,27.00,11219.00,1/1/2015,9/30/2016,,
"SCOTT, ELIZABETH",H,REP,CHALLENGER,WA,152770.19,,152770.19,142386.74,,10392.33,130741.74,4/1/2015,9/30/2016,,
"SESTAK, JOSEPH A JR",S,DEM,CHALLENGER,PA,2923680.00,,2923680.00,4445912.00,1538695.00,22502.00,3762609.00,1/1/2015,9/30/2016,,
"SHAMMAS, JOSEPH IVARO",H,DEM,CHALLENGER,CA,8556.89,,8556.89,43498.27,,,43498.27,11/20/2015,9/30/2016,,
"SHEPHERD, RICK",H,DEM,CHALLENGER,NV,8751.29,,8751.29,6772.62,1298.65,4468.56,6769.62,1/11/2016,9/30/2016,,
"SHERZAN, MIKE",H,DEM,CHALLENGER,IA,90033.08,,90033.08,891645.58,,,882133.08,10/1/2015,9/30/2016,,
"SIMPSON, CORY",H,DEM,CHALLENGER,WV,187861.63,,187861.63,237966.88,,,224291.63,1/1/2016,9/30/2016,,
"SIMS, BRIAN KENDALL",H,DEM,CHALLENGER,PA,269415.30,,269415.30,269542.45,,,193061.45,10/1/2015,9/30/2016,,
"SITTENFELD, P G",S,DEM,CHALLENGER,OH,1641056.00,,1641056.00,1657528.00,,,1358824.00,1/1/2015,9/30/2016,,
"SLAVENS, JOHN CALVIN",H,REP,CHALLENGER,TX,73918.58,,73918.58,73918.58,,,73918.58,4/6/2015,9/30/2016,,
"SMIGIEL, SR., MICHAEL D. MR.",H,REP,CHALLENGER,MD,32096.53,,32096.53,32201.76,,,32151.76,4/1/2015,9/30/2016,,
"SMITH , JOHN (BIG JOHN)",H,REP,CHALLENGER,TN,8111.00,,8111.00,10510.00,,100.00,10510.00,9/30/2014,9/30/2016,,
"SMITH, DELLA JEAN",S,REP,CHALLENGER,KS,,,0.00,1865.00,56.00,9.00,1860.00,1/1/2015,9/30/2016,,
"SMITH, SCOTT A",H,NNE,CHALLENGER,NY,,,0.00,,161.00,161.00,,12/31/2014,9/30/2016,,
"SPAMPINATO, FRANCIS CESIDIO",H,REP,CHALLENGER,VA,700.00,,700.00,37751.38,,431.68,37136.38,10/15/2015,9/30/2016,,
"STARRETT, GRANT",H,REP,CHALLENGER,TN,825169.85,,825169.85,1696672.14,,8450.34,1574046.61,4/1/2015,9/30/2016,,
"STEELE, VICTORIA L",H,DEM,CHALLENGER,AZ,239356.04,,239356.04,219452.46,,28263.45,210686.82,7/1/2015,9/30/2016,,
"STELLA, DOMINICK J. M.D.",H,REP,CHALLENGER,IL,16794.50,,16794.50,187687.36,,1076.34,187687.36,7/1/2015,9/30/2016,,
"STERN, EVERETT ALEXANDER",S,IND,CHALLENGER,PA,21600.00,,21600.00,52600.00,,,52600.00,1/1/2015,9/30/2016,,
"STEVENS, CEAN",S,LIB,CHALLENGER,AK,6805.00,,6805.00,16189.00,,687.00,16114.00,1/1/2016,9/30/2016,,
"STEVENS, WILLIAM MARK",H,REP,CHALLENGER,CT,7000.00,,7000.00,7278.00,493.00,278.00,7278.00,4/1/2016,9/30/2016,,
"STOVALL, DWAYNE",H,REP,CHALLENGER,TX,6820.00,,6820.00,6663.97,,,3463.97,7/1/2015,9/30/2016,,
"SWEENEY, MIKE",H,REP,CHALLENGER,TX,5114.80,,5114.80,10096.20,500.00,818.60,10096.20,12/1/2015,9/30/2016,,
"TADDEO, ANNETTE",H,DEM,CHALLENGER,FL,1550694.44,384.20,1551078.64,1466849.86,,206423.59,1445443.08,1/1/2015,9/30/2016,,
"TAYLOR, DWAYNE L",H,DEM,CHALLENGER,FL,24086.56,,24086.56,23171.53,,3753.20,19009.19,10/1/2015,9/30/2016,,
"TENG, CHIA-CHI",H,REP,CHALLENGER,UT,31392.44,,31392.44,542438.63,,,542438.63,10/1/2015,9/30/2016,,
"THOMAS, EVAN CHARLES",H,DEM,CHALLENGER,CA,5330.18,,5330.18,12153.90,3046.00,1423.08,6633.90,1/1/2015,9/30/2016,,
"THOMPSON, GERALDINE F.",H,DEM,CHALLENGER,FL,136108.61,,136108.61,202108.61,,,199048.92,10/1/2015,9/30/2016,,
"TRIBBLE, CLINT",H,REP,CHALLENGER,TN,23754.80,,23754.80,54817.50,,-1806.18,46522.50,3/29/2016,9/30/2016,,
"TUCK, MICKEY",H,REP,CHALLENGER,GA,7832.00,,7832.00,12325.00,,305.00,12325.00,7/1/2015,9/30/2016,,
"TUCKER, PAMELA Z",H,REP,CHALLENGER,NH,75710.55,,75710.55,100120.26,,590.29,26915.26,1/1/2016,9/30/2016,,
"VAN GLAHN, RICHARD EDWARD",H,REP,CHALLENGER,NJ,31230.00,,31230.00,44229.00,,,31004.00,1/1/2016,9/30/2016,,
"VARGAS, CALANDRA",H,REP,CHALLENGER,CO,21810.52,,21810.52,21810.52,,,21810.52,4/1/2016,9/30/2016,,
"VODVARKA, JOSEPH JOHN",S,DEM,CHALLENGER,PA,33334.00,,33334.00,73659.40,200.00,176.00,33334.00,1/1/2015,9/30/2016,,
"VOLPE, FRANK PASQUALE JR.",H,REP,CHALLENGER,OK,15191.67,,15191.67,15023.95,,467.72,14723.95,1/1/2016,9/30/2016,,
"WARD, ELLA PORTER",H,DEM,CHALLENGER,VA,47864.75,,47864.75,43359.48,,6156.97,34331.98,1/1/2016,9/30/2016,,
"WARD, KELLI",S,REP,CHALLENGER,AZ,1475241.00,,1475241.00,1533879.00,,57586.00,1515515.00,1/1/2015,9/30/2016,,
"WEBB, JOHN E",H,REP,CHALLENGER,MO,13156.00,,13156.00,15578.00,1512.00,584.00,14953.00,1/1/2015,9/30/2016,,
"WELSH, BARRY",H,DEM,CHALLENGER,IN,4184.01,,4184.01,5676.19,1209.70,140.02,5253.69,7/1/2016,9/30/2016,,
"WHITE, HERMAN",H,REP,CHALLENGER,IL,56195.00,,56195.00,77256.85,,38.15,76256.85,10/1/2015,9/30/2016,,
"WILDES, MICHAEL",H,DEM,CHALLENGER,NJ,16700.00,,16700.00,2655.00,714909.36,752999.90,2624.00,1/1/2015,9/30/2016,,
"WILLIAMS, DAVID EARL III",H,IND,CHALLENGER,IL,90556.66,,90556.66,81297.66,4164.02,13423.02,79232.66,1/1/2015,9/30/2016,,
"WILLIAMS, LILY TANG",S,LIB,CHALLENGER,CO,17662.00,,17662.00,10485.00,,7176.00,10485.00,1/1/2016,9/30/2016,,
"WILSON, DAVID J",H,OTH,CHALLENGER,WA,134453.00,,134453.00,206361.15,2051.44,2643.29,196361.15,1/1/2015,9/30/2016,,
"WINFREY, JANICE MARIE",H,DEM,CHALLENGER,MI,78488.64,,78488.64,79272.99,,4784.35,78870.99,7/1/2015,9/30/2016,,
"WINSTON, SIMON WOOD",H,REP,CHALLENGER,TX,32449.00,,32449.00,366297.07,,,59189.07,10/1/2015,9/30/2016,,
"WINTEREGG, J D",H,REP,CHALLENGER,OH,73571.19,,73571.19,96527.96,703.87,-13152.90,81570.95,1/1/2015,9/30/2016,,
"WOLF, AUGUST L",S,REP,CHALLENGER,CT,591316.00,21284.00,612600.00,743889.00,,2828.00,694250.00,1/1/2015,9/30/2016,,
"WOOLRIDGE, RUBY FAYE MS.",H,DEM,CHALLENGER,TX,29032.00,,29032.00,26269.60,,7838.40,26269.60,4/1/2016,9/30/2016,,
"YOUNG, DWIGHT MARK ANTHONY",S,REP,CHALLENGER,FL,327.00,,327.00,19550.00,,1373.00,18954.00,7/1/2016,9/30/2016,,
"YOUNG, GEOFFREY M",H,DEM,CHALLENGER,KY,2053.00,,2053.00,10774.50,,2260.00,10774.00,1/1/2016,9/30/2016,,
"ZOPP, ANDREA",S,DEM,CHALLENGER,IL,1863687.00,2377.82,1866064.82,1992950.00,,7.00,1910817.00,4/1/2015,9/30/2016,,
"RUBENS, JIM",S,REP,CHALLENGER,NH,99761.00,,99761.00,99759.00,,,98959.00,1/1/2015,9/29/2016,,
"PEREZ, CONNIE",H,DEM,CHALLENGER,CA,15272.95,,15272.95,15272.95,,,10768.25,10/1/2015,9/27/2016,,
"WALLIN, CHARLIE",H,DEM,CHALLENGER,NC,5571.09,,5571.09,5571.09,,,3831.09,4/1/2016,9/26/2016,,
"STRAUSS, RAYMOND JOHN",H,REP,CHALLENGER,AZ,110978.20,,110978.20,111269.03,,,109978.20,7/1/2015,9/21/2016,,
"HILL, RANDAL",H,DEM,CHALLENGER,FL,108066.33,,108066.33,128066.33,,,126566.33,7/1/2015,9/15/2016,,
"BIRCHER, MARK WILLIAM",H,REP,CHALLENGER,FL,6491.00,,6491.00,48491.00,,,48491.00,11/30/2015,9/14/2016,,
"KINZLER, GORDON (JAY)",H,REP,CHALLENGER,IL,98291.02,,98291.02,202580.70,,276.96,200414.06,10/1/2015,9/13/2016,,
"CORNELL, PHILIP L",S,DEM,CHALLENGER,WA,11441.00,,11441.00,9417.00,,3116.00,8630.00,1/1/2016,9/9/2016,,
"CHRISTENSEN, PAUL MAKANI",S,DEM,CHALLENGER,HI,45802.00,,45802.00,50218.00,,,47442.00,6/7/2016,8/31/2016,,
"FOUGHT, STEVEN DEAN",H,DEM,CHALLENGER,OH,250.00,,250.00,114.00,,136.00,114.00,7/1/2016,8/24/2016,,
"WEST, BENJAMIN",H,REP,CHALLENGER,OR,46952.00,,46952.00,47138.87,,,43667.09,1/1/2016,8/23/2016,,
"GONZALEZ, TRAVIS",H,DEM,CHALLENGER,MO,221.00,,221.00,,,221.00,,1/1/2016,8/22/2016,,
"DONNELLY, TIM",H,REP,CHALLENGER,CA,89693.70,,89693.70,89883.21,,,85806.70,1/1/2016,8/17/2016,,
"RAMOS, SANTIAGO",H,DEM,CHALLENGER,WA,30922.45,,30922.45,31422.45,,,31242.03,4/1/2016,8/16/2016,,
"HAAS, WILLIAM C",H,DEM,CHALLENGER,MO,4764.00,,4764.00,12263.00,,,12264.00,3/16/2016,8/12/2016,,
"BERUFF, CARLOS",S,REP,CHALLENGER,FL,482811.00,,482811.00,8196656.00,,299002.00,8196656.00,1/1/2016,8/10/2016,,
"FAHMY, FATIMA RITA",H,DEM,CHALLENGER,FL,31123.50,,31123.50,2466.87,11507.00,27870.63,2466.87,10/30/2015,8/10/2016,,
"INVICTUS, AUGUSTUS SOL",S,LIB,CHALLENGER,FL,21486.82,14555.00,36041.82,21288.00,,194.00,18598.00,5/22/2015,8/10/2016,,
"PEIRO, MARIA MAGDALENA",H,REP,CHALLENGER,FL,1900.00,,1900.00,16305.19,,1017.95,16305.19,6/21/2016,8/10/2016,,
"SKOLD, ALIDA",H,DEM,CHALLENGER,WA,5880.26,,5880.26,32256.50,,-26376.24,32256.50,4/1/2016,8/10/2016,,
"METCALFE, MARGARET",H,REP,CHALLENGER,GU,9293.49,,9293.49,9342.49,2287.00,2238.00,9342.49,1/1/2015,8/7/2016,,
"MORGAN, YURIPZY",H,REP,CHALLENGER,MD,7650.00,,7650.00,15150.00,,,8007.91,10/1/2015,8/2/2016,,
"YARBER, KYLE A",H,DEM,CHALLENGER,MO,,,0.00,2068.00,,80.00,2068.00,4/1/2016,8/2/2016,,
"BUNCH, WILLIAM CAREY BILL"" JR""",H,DEM,CHALLENGER,VA,5655.00,,5655.00,5655.30,,,5475.00,1/1/2016,7/31/2016,,
"MUROFF, DANIEL",H,DEM,CHALLENGER,PA,326779.23,,326779.23,389218.10,,,314447.68,7/1/2015,7/31/2016,,
"SHOAF, FARREN KENT",H,REP,CHALLENGER,NC,14956.00,,14956.00,14956.00,,,14956.00,3/24/2016,7/31/2016,,
"HICKS, ANGELA",H,REP,CHALLENGER,GA,46600.00,,46600.00,46599.00,,,46599.00,2/29/2016,7/28/2016,,
"LEWIS, JOEL ANDREW",H,DEM,CHALLENGER,WI,6488.26,,6488.26,6608.26,,180.13,6608.26,4/1/2016,7/27/2016,,
"ATKINSON, JACQUIE",H,REP,CHALLENGER,CA,196307.97,,196307.97,196307.97,,,167707.97,3/18/2015,7/21/2016,,
"HELLAND, ROBERT RANDOLPH",H,UNK,CHALLENGER,MN,4743.00,,4743.00,4162.00,,590.00,4162.00,1/1/2015,7/20/2016,,
"SCUPIN, MICHAEL LEE",H,REP,CHALLENGER,GA,11076.20,,11076.20,11339.39,,,10654.99,1/1/2016,7/18/2016,,
"BURK, JOHN GUNTHER JR",H,REP,CHALLENGER,KY,1150.00,,1150.00,1150.00,,,1150.00,1/1/2016,7/16/2016,,
"BURK, JOHN GUNTHER JR",H,REP,CHALLENGER,NC,1150.00,,1150.00,1150.00,,,1150.00,1/1/2016,7/16/2016,,
"PHILLIPS, WILLIAM CALVIN JR",H,DEM,CHALLENGER,FL,36575.00,,36575.00,40825.00,,,33875.00,10/19/2015,7/15/2016,,
"SMITH, GEOFFERY SUHMER",H,REP,CHALLENGER,TN,7812.86,,7812.86,7688.82,,124.04,7688.82,1/1/2016,7/15/2016,,
"TURNER, RICHARD L",H,NON,CHALLENGER,HI,,,0.00,,,66.34,,4/16/2016,7/15/2016,,
"VINCE, LOU",H,DEM,CHALLENGER,CA,93555.15,,93555.15,93719.65,,,93555.15,4/1/2015,7/15/2016,,
"VAKIL, TEJAS",H,DEM,CHALLENGER,TX,46102.36,,46102.36,54102.36,,,48743.89,12/1/2015,7/14/2016,,
"BERRY, PAUL III",H,REP,CHALLENGER,MO,,,0.00,,,,,7/1/2016,7/13/2016,,
"MCLAUGHLIN, NATHANIEL WELTON JR",H,DEM,CHALLENGER,KS,2724.00,,2724.00,18590.00,,49.00,18090.00,8/23/2015,7/13/2016,,
"SWINTON, JONATHAN JEFFREY",S,DEM,CHALLENGER,UT,30631.00,,30631.00,45254.00,,,30630.00,7/1/2015,7/12/2016,,
"ASH, JAMES",H,REP,CHALLENGER,CA,21778.00,,21778.00,35278.00,,,35117.51,1/1/2015,7/11/2016,,
"HOGG, ROBERT M",S,DEM,CHALLENGER,IA,278349.00,,278349.00,282038.00,,5.00,280344.00,7/1/2015,7/11/2016,,
"BRADELL, KYLE",H,REP,CHALLENGER,CO,1858.90,,1858.90,1858.90,,,1858.90,1/1/2016,7/10/2016,,
"KELLER, RICHARD ANTHONY",H,REP,CHALLENGER,FL,23350.00,,23350.00,23350.00,,,22861.43,4/1/2016,7/9/2016,,
"ALM, VANCE STEVEN",H,DEM,CHALLENGER,NV,10791.45,,10791.45,10773.84,,17.61,7219.69,1/1/2016,7/7/2016,,
"ITKIS, MIKHAIL",H,NPA,CHALLENGER,NY,2100.00,,2100.00,321.68,,1778.32,321.68,6/15/2016,7/7/2016,,
"ROGERS, EVELYN L (LOUISE)",H,REP,CHALLENGER,OK,1147.00,,1147.00,6.00,,,1140.00,4/11/2016,7/2/2016,,
"ALLVORD, TERRY",H,REP,CHALLENGER,CA,13081.36,,13081.36,19253.77,,,13011.15,1/1/2016,6/30/2016,,
"BACALLAO, MARY KAY",S,REP,CHALLENGER,GA,2742.00,,2742.00,10201.00,,,1737.00,3/8/2016,6/30/2016,,
"BALDACCI, JOSEPH M.",H,DEM,CHALLENGER,ME,165991.31,,165991.31,190685.02,,6.29,159589.52,4/23/2015,6/30/2016,,
"BEAGLE, WILLIAM",H,REP,CHALLENGER,OH,309261.63,,309261.63,501672.33,,,501622.33,10/1/2015,6/30/2016,,
"BUSH, CORI",S,DEM,CHALLENGER,MO,6476.67,,6476.67,7670.00,1465.00,271.00,,1/28/2016,6/30/2016,,
"CANADA, MIKE",H,REP,CHALLENGER,CA,,,0.00,17000.00,,,14418.40,10/1/2015,6/30/2016,,
"CONKLIN, ERIC MICHAEL",S,IND,CHALLENGER,IL,3281.00,,3281.00,2986.00,,295.00,2986.00,4/1/2016,6/30/2016,,
"CUNNINGHAM, CARLA DELLETTE",H,DEM,CHALLENGER,NC,4877.99,,4877.99,42590.80,,13.10,37482.19,1/1/2016,6/30/2016,,
"DAVIDSON, ALLEN RAY",H,DEM,CHALLENGER,IN,629.97,,629.97,1889.09,,,1889.09,10/1/2015,6/30/2016,,
"DERICKSON, TIMOTHY",H,REP,CHALLENGER,OH,295011.94,,295011.94,315411.94,,,304961.94,10/1/2015,6/30/2016,,
"DETERT, RYAN",H,REP,CHALLENGER,CA,1482.59,,1482.59,10325.81,,,9445.92,1/1/2016,6/30/2016,,
"EMERY, ED",H,DEM,CHALLENGER,FL,83513.55,,83513.55,111271.37,,71794.81,103059.18,7/1/2015,6/30/2016,,
"ESPINOZA, MARIA L",H,REP,CHALLENGER,TX,28337.48,,28337.48,87749.97,,14567.67,87749.97,12/6/2015,6/30/2016,,
"FERGUSON, JENNIFER GIGI",H,DEM,CHALLENGER,WA,11495.04,,11495.04,9390.85,,2104.19,8817.79,7/1/2015,6/30/2016,,
"FRAZIER, RYAN LAVAR",S,REP,CHALLENGER,CO,266503.00,,266503.00,417759.00,,2183.00,417759.00,10/1/2015,6/30/2016,,
"GEORGE, SCOTT PATRICK",H,REP,CHALLENGER,OH,6615.00,,6615.00,6615.00,,,6615.00,10/1/2015,6/30/2016,,
"GOLDERER, BILL",H,DEM,CHALLENGER,PA,425100.82,,425100.82,425100.82,,,351550.82,10/1/2015,6/30/2016,,
"HIRD, DIANA",H,DEM,CHALLENGER,NY,9405.84,,9405.84,26905.84,,,9874.83,1/1/2016,6/30/2016,,
"HOWARD, FRANK",H,REP,CHALLENGER,MD,26562.96,,26562.96,76562.96,,,76562.96,7/1/2015,6/30/2016,,
