can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"MCCARTER, KYLE",H,REP,CHALLENGER,IL,"$341,486.34 ",,"$494,036.66 ",,"$4,145.58 ","$404,977.07 ",10/1/2015,9/30/2016,,
"MCCONNELL, JONATHAN EDWARD",S,REP,CHALLENGER,AL,"$863,893.00 ",,"$940,554.00 ",,$15.00 ,"$781,680.00 ",10/25/2015,9/30/2016,,
"MCDEVITT, DAVID MALCOLM MR",H,DEM,CHALLENGER,WA,"$15,262.85 ",,"$113,923.79 ",,"$1,339.06 ","$31,423.79 ",10/1/2015,9/30/2016,,
"MCGOVERN, JAMES JOSEPH",H,DEM,CHALLENGER,FL,"$50,116.53 ",,"$72,141.31 ",,"($1,945.22)","$69,361.75 ",4/1/2016,9/30/2016,,
"MCTEAGUE, DAVE",H,DEM,CHALLENGER,OR,"$30,556.88 ",,"$70,712.85 ",,"($25,655.97)","$66,962.85 ",1/1/2016,9/30/2016,,
"MELUSKEY, ALEXANDER",S,REP,CHALLENGER,AZ,"$112,176.00 ",,"$888,489.00 ",,"($1,878.00)","$871,427.00 ",1/1/2015,9/30/2016,,
"MERCADO, JUAN CARLOS",H,DEM,CHALLENGER,CA,,,"$7,344.03 ",,$755.97 ,"$7,344.03 ",4/1/2016,9/30/2016,,
"MINIEAR, J D",H,REP,CHALLENGER,IN,"$2,069.00 ",,"$4,476.00 ",,,"$3,758.00 ",11/17/2015,9/30/2016,,
"MODICA, JULIEN",H,DEM,CHALLENGER,VA,"$3,025.00 ","$540,361.26 ","$2,018.00 ",,"$548,368.26 ","$2,018.00 ",10/19/2015,9/30/2016,,
"MOLESEVICH, MIKE",H,DEM,CHALLENGER,PA,"$45,859.14 ",,"$47,309.15 ",,"($11,770.46)","$47,309.15 ",4/1/2016,9/30/2016,,
"MOONEY, PATRICK",H,REP,CHALLENGER,FL,"$244,698.96 ",,"$444,140.43 ",,$558.53 ,"$172,320.91 ",1/1/2016,9/30/2016,,
"MORGAN, DELINDA",H,REP,CHALLENGER,OR,$465.00 ,,$741.00 ,,($276.00),,1/1/2015,9/30/2016,,
"MORRISON, TERRANCE",H,DEM,CHALLENGER,MI,$200.00 ,,"$10,200.00 ",,"($5,170.00)","$10,200.00 ",7/1/2015,9/30/2016,,
"MOSS, RICHARD MARC",H,REP,CHALLENGER,IN,"$30,255.00 ",,"$56,640.12 ",,"$1,614.88 ","$56,640.12 ",10/1/2015,9/30/2016,,
"MURPHY, WILLIAM JOHN",H,REP,CHALLENGER,TX,"$6,970.00 ",,"$7,183.15 ",,,"$7,074.20 ",7/1/2015,9/30/2016,,
"NATIVIDAD, JERRY",S,REP,CHALLENGER,CO,"$19,916.00 ",,"$163,111.00 ",,"$7,303.00 ","$138,411.00 ",1/1/2016,9/30/2016,,
"NAZARINO, SCOTT",S,REP,CHALLENGER,WA,$938.00 ,,"$10,873.00 ",$40.00 ,$133.00 ,"$10,873.00 ",4/1/2016,9/30/2016,,
"NEHLEN, PAUL III",H,REP,CHALLENGER,WI,"$1,465,724.97 ",,"$1,403,390.56 ",,"$167,864.69 ","$1,391,460.28 ",4/1/2016,9/30/2016,,
"NORRIS, CHARLES H",H,DEM,CHALLENGER,CO,"$9,691.68 ",,"$17,715.94 ","$3,470.35 ",($553.91),"$17,715.94 ",1/1/2015,9/30/2016,,
"O'MALLEY, THOMAS JOSEPH",H,REP,CHALLENGER,MA,"$15,701.65 ",,"$21,632.59 ",$50.00 ,"$1,119.06 ","$19,362.98 ",1/1/2016,9/30/2016,,
"ORMAN, GREGORY JOHN",S,IND,CHALLENGER,,"$88,280.00 ",,"$104,477.00 ","$1,036.00 ",,"$89,316.00 ",1/1/2015,9/30/2016,,
"PAINTER, HAROLD WALTON JR",H,REP,CHALLENGER,MD,"$22,075.00 ",,"$22,075.00 ",,,"$22,075.00 ",1/1/2015,9/30/2016,,
"PALSSON, NILS",H,DEM,CHALLENGER,CA,"$10,240.59 ",,"$10,240.59 ",,,"$10,240.59 ",1/1/2016,9/30/2016,,
"PAPPAS, GEORGE STEVE",H,DEM,CHALLENGER,FL,"$43,585.84 ",,"$46,478.85 ",,$168.49 ,"$42,205.70 ",10/28/2015,9/30/2016,,
"PARRA, DANIEL",H,DEM,CHALLENGER,CA,"$71,143.07 ",,"$70,585.23 ",,$567.60 ,"$69,467.28 ",1/1/2015,9/30/2016,,
"PATE, AVA",H,REP,CHALLENGER,TX,"$4,667.47 ",,"$4,312.83 ",,$354.64 ,"$4,312.83 ",12/5/2015,9/30/2016,,
"PATTERSON, WILLIAM RALPH",H,REP,CHALLENGER,TX,"$6,580.00 ",,"$405,510.01 ",,"$3,523.45 ","$402,897.86 ",12/14/2015,9/30/2016,,
"PATTY, BRANDON JOEL",H,REP,CHALLENGER,FL,"$151,347.37 ",,"$139,287.12 ",,"$12,060.25 ","$116,457.12 ",1/6/2016,9/30/2016,,
"PAWLOWSKI, ED",S,DEM,CHALLENGER,PA,"$423,619.88 ",,"$437,438.68 ",,$89.00 ,"$123,617.68 ",4/1/2015,9/30/2016,,
"PEREZ, FRANK",H,DEM,CHALLENGER,FL,"$11,790.00 ",,"$12,553.01 ",,"$99,236.99 ","$12,553.01 ",8/4/2015,9/30/2016,,
"PERKINS, JO RAE",H,REP,CHALLENGER,OR,"$4,734.25 ",$122.36 ,"$4,905.78 ",,$242.85 ,"$4,833.09 ",7/1/2015,9/30/2016,,
"PHELPS, TODD",H,REP,CHALLENGER,TX,,,"$26,964.00 ",,($569.00),"$24,910.00 ",10/1/2015,9/30/2016,,
"RAB, AEJAZ (RAJI)",H,DEM,CHALLENGER,CA,"$83,851.00 ",,"$136,871.82 ",,"$1,978.52 ","$128,371.82 ",3/1/2015,9/30/2016,,
"RATHS, GREGORY G",H,REP,CHALLENGER,CA,"$114,867.75 ",,"$193,146.66 ","$21,914.00 ","$19,487.02 ","$167,095.34 ",10/4/2014,9/30/2016,,
"REYNOLDS, ROGER",H,REP,CHALLENGER,OH,"$132,783.31 ",,"$158,162.01 ",,"$44,703.99 ","$56,924.32 ",7/1/2015,9/30/2016,,
"REYNOLDS, STEVEN",H,DEM,CHALLENGER,TN,"$33,220.20 ",,"$47,821.61 ",,"$2,051.88 ","$42,271.61 ",4/1/2016,9/30/2016,,
"RIVERA, ERNESTO J",S,REP,CHALLENGER,FL,"$2,977.00 ",,"$296,257.00 ",,,"$83,301.00 ",11/12/2015,9/30/2016,,
"ROBERTSON, TERRY",H,REP,CHALLENGER,OH,"$2,355.89 ",,"$3,534.01 ",,($978.12),"$3,225.36 ",1/1/2015,9/30/2016,,
"ROBSINSON, VERNON",H,REP,CHALLENGER,NJ,"$92,544.77 ",,"$93,083.77 ",,,"$91,244.77 ",1/1/2016,9/30/2016,,
"RODKIN ROTERING, NANCY",H,DEM,CHALLENGER,IL,"$1,163,964.77 ",,"$1,508,745.76 ",,"$1,490.75 ","$1,369,795.93 ",1/1/2015,9/30/2016,,
"RODRIGUEZ, JUNIUS",H,DEM,CHALLENGER,IL,"$51,827.91 ",,"$42,697.76 ",,"$9,130.15 ","$42,297.76 ",4/1/2016,9/30/2016,,
"ROLLE, DANIEL",H,DEM,CHALLENGER,NV,"$6,036.33 ",,"$7,873.21 ",,"($1,375.81)","$7,642.86 ",1/1/2016,9/30/2016,,
"ROSENBERG, MIKHAIL OLIVER",H,DEM,CHALLENGER,NY,"$77,509.88 ",,"$429,089.36 ",,$120.52 ,"$429,089.36 ",1/1/2016,9/30/2016,,
"ROUCO, GEORGE",H,REP,CHALLENGER,NC,"$74,114.75 ",,"$80,119.49 ",,"$1,791.36 ","$74,093.39 ",7/1/2015,9/30/2016,,
"SANDERS, JAMES JR",H,DEM,CHALLENGER,NY,"$73,454.00 ",,"$42,016.70 ",,"$31,437.30 ","$17,177.20 ",12/2/2015,9/30/2016,,
"SANTIAGO, DAVID",H,REP,CHALLENGER,FL,"$157,610.47 ",,"$112,405.31 ",,"$45,205.16 ","$104,305.31 ",1/1/2016,9/30/2016,,
"SANYAL, ARUNAVA RON""""",H,DEM,CHALLENGER,NC,"$10,975.00 ",,"$11,469.00 ",,$27.00 ,"$11,219.00 ",1/1/2015,9/30/2016,,
"SCOTT, ELIZABETH",H,REP,CHALLENGER,WA,"$152,770.19 ",,"$142,386.74 ",,"$10,392.33 ","$130,741.74 ",4/1/2015,9/30/2016,,
"SESTAK, JOSEPH A JR",S,DEM,CHALLENGER,PA,"$2,923,680.00 ",,"$4,445,912.00 ","$1,538,695.00 ","$22,502.00 ","$3,762,609.00 ",1/1/2015,9/30/2016,,
"SHAMMAS, JOSEPH IVARO",H,DEM,CHALLENGER,CA,"$8,556.89 ",,"$43,498.27 ",,,"$43,498.27 ",11/20/2015,9/30/2016,,
"SHEPHERD, RICK",H,DEM,CHALLENGER,NV,"$8,751.29 ",,"$6,772.62 ","$1,298.65 ","$4,468.56 ","$6,769.62 ",1/11/2016,9/30/2016,,
"SHERZAN, MIKE",H,DEM,CHALLENGER,IA,"$90,033.08 ",,"$891,645.58 ",,,"$882,133.08 ",10/1/2015,9/30/2016,,
"SIMPSON, CORY",H,DEM,CHALLENGER,WV,"$187,861.63 ",,"$237,966.88 ",,,"$224,291.63 ",1/1/2016,9/30/2016,,
"SIMS, BRIAN KENDALL",H,DEM,CHALLENGER,PA,"$269,415.30 ",,"$269,542.45 ",,,"$193,061.45 ",10/1/2015,9/30/2016,,
"SITTENFELD, P G",S,DEM,CHALLENGER,OH,"$1,641,056.00 ",,"$1,657,528.00 ",,,"$1,358,824.00 ",1/1/2015,9/30/2016,,
"SLAVENS, JOHN CALVIN",H,REP,CHALLENGER,TX,"$73,918.58 ",,"$73,918.58 ",,,"$73,918.58 ",4/6/2015,9/30/2016,,
"SMIGIEL, SR., MICHAEL D. MR.",H,REP,CHALLENGER,MD,"$32,096.53 ",,"$32,201.76 ",,,"$32,151.76 ",4/1/2015,9/30/2016,,
"SMITH , JOHN (BIG JOHN)",H,REP,CHALLENGER,TN,"$8,111.00 ",,"$10,510.00 ",,$100.00 ,"$10,510.00 ",9/30/2014,9/30/2016,,
"SMITH, DELLA JEAN",S,REP,CHALLENGER,KS,,,"$1,865.00 ",$56.00 ,$9.00 ,"$1,860.00 ",1/1/2015,9/30/2016,,
"SMITH, SCOTT A",H,NNE,CHALLENGER,NY,,,,$161.00 ,$161.00 ,,12/31/2014,9/30/2016,,
"SPAMPINATO, FRANCIS CESIDIO",H,REP,CHALLENGER,VA,$700.00 ,,"$37,751.38 ",,$431.68 ,"$37,136.38 ",10/15/2015,9/30/2016,,
"STARRETT, GRANT",H,REP,CHALLENGER,TN,"$825,169.85 ",,"$1,696,672.14 ",,"$8,450.34 ","$1,574,046.61 ",4/1/2015,9/30/2016,,
"STEELE, VICTORIA L",H,DEM,CHALLENGER,AZ,"$239,356.04 ",,"$219,452.46 ",,"$28,263.45 ","$210,686.82 ",7/1/2015,9/30/2016,,
"STELLA, DOMINICK J. M.D.",H,REP,CHALLENGER,IL,"$16,794.50 ",,"$187,687.36 ",,"$1,076.34 ","$187,687.36 ",7/1/2015,9/30/2016,,
"STERN, EVERETT ALEXANDER",S,IND,CHALLENGER,PA,"$21,600.00 ",,"$52,600.00 ",,,"$52,600.00 ",1/1/2015,9/30/2016,,
"STEVENS, CEAN",S,LIB,CHALLENGER,AK,"$6,805.00 ",,"$16,189.00 ",,$687.00 ,"$16,114.00 ",1/1/2016,9/30/2016,,
"STEVENS, WILLIAM MARK",H,REP,CHALLENGER,CT,"$7,000.00 ",,"$7,278.00 ",$493.00 ,$278.00 ,"$7,278.00 ",4/1/2016,9/30/2016,,
"STOVALL, DWAYNE",H,REP,CHALLENGER,TX,"$6,820.00 ",,"$6,663.97 ",,,"$3,463.97 ",7/1/2015,9/30/2016,,
"SWEENEY, MIKE",H,REP,CHALLENGER,TX,"$5,114.80 ",,"$10,096.20 ",$500.00 ,$818.60 ,"$10,096.20 ",12/1/2015,9/30/2016,,
"TADDEO, ANNETTE",H,DEM,CHALLENGER,FL,"$1,550,694.44 ",$384.20 ,"$1,466,849.86 ",,"$206,423.59 ","$1,445,443.08 ",1/1/2015,9/30/2016,,
"TAYLOR, DWAYNE L",H,DEM,CHALLENGER,FL,"$24,086.56 ",,"$23,171.53 ",,"$3,753.20 ","$19,009.19 ",10/1/2015,9/30/2016,,
"TENG, CHIA-CHI",H,REP,CHALLENGER,UT,"$31,392.44 ",,"$542,438.63 ",,,"$542,438.63 ",10/1/2015,9/30/2016,,
"THOMAS, EVAN CHARLES",H,DEM,CHALLENGER,CA,"$5,330.18 ",,"$12,153.90 ","$3,046.00 ","$1,423.08 ","$6,633.90 ",1/1/2015,9/30/2016,,
"THOMPSON, GERALDINE F.",H,DEM,CHALLENGER,FL,"$136,108.61 ",,"$202,108.61 ",,,"$199,048.92 ",10/1/2015,9/30/2016,,
"TRIBBLE, CLINT",H,REP,CHALLENGER,TN,"$23,754.80 ",,"$54,817.50 ",,"($1,806.18)","$46,522.50 ",3/29/2016,9/30/2016,,
"TUCK, MICKEY",H,REP,CHALLENGER,GA,"$7,832.00 ",,"$12,325.00 ",,$305.00 ,"$12,325.00 ",7/1/2015,9/30/2016,,
"TUCKER, PAMELA Z",H,REP,CHALLENGER,NH,"$75,710.55 ",,"$100,120.26 ",,$590.29 ,"$26,915.26 ",1/1/2016,9/30/2016,,
"VAN GLAHN, RICHARD EDWARD",H,REP,CHALLENGER,NJ,"$31,230.00 ",,"$44,229.00 ",,,"$31,004.00 ",1/1/2016,9/30/2016,,
"VARGAS, CALANDRA",H,REP,CHALLENGER,CO,"$21,810.52 ",,"$21,810.52 ",,,"$21,810.52 ",4/1/2016,9/30/2016,,
"VODVARKA, JOSEPH JOHN",S,DEM,CHALLENGER,PA,"$33,334.00 ",,"$73,659.40 ",$200.00 ,$176.00 ,"$33,334.00 ",1/1/2015,9/30/2016,,
"VOLPE, FRANK PASQUALE JR.",H,REP,CHALLENGER,OK,"$15,191.67 ",,"$15,023.95 ",,$467.72 ,"$14,723.95 ",1/1/2016,9/30/2016,,
"WARD, ELLA PORTER",H,DEM,CHALLENGER,VA,"$47,864.75 ",,"$43,359.48 ",,"$6,156.97 ","$34,331.98 ",1/1/2016,9/30/2016,,
"WARD, KELLI",S,REP,CHALLENGER,AZ,"$1,475,241.00 ",,"$1,533,879.00 ",,"$57,586.00 ","$1,515,515.00 ",1/1/2015,9/30/2016,,
"WEBB, JOHN E",H,REP,CHALLENGER,MO,"$13,156.00 ",,"$15,578.00 ","$1,512.00 ",$584.00 ,"$14,953.00 ",1/1/2015,9/30/2016,,
"WELSH, BARRY",H,DEM,CHALLENGER,IN,"$4,184.01 ",,"$5,676.19 ","$1,209.70 ",$140.02 ,"$5,253.69 ",7/1/2016,9/30/2016,,
"WHITE, HERMAN",H,REP,CHALLENGER,IL,"$56,195.00 ",,"$77,256.85 ",,$38.15 ,"$76,256.85 ",10/1/2015,9/30/2016,,
"WILDES, MICHAEL",H,DEM,CHALLENGER,NJ,"$16,700.00 ",,"$2,655.00 ","$714,909.36 ","$752,999.90 ","$2,624.00 ",1/1/2015,9/30/2016,,
"WILLIAMS, DAVID EARL III",H,IND,CHALLENGER,IL,"$90,556.66 ",,"$81,297.66 ","$4,164.02 ","$13,423.02 ","$79,232.66 ",1/1/2015,9/30/2016,,
"WILLIAMS, LILY TANG",S,LIB,CHALLENGER,CO,"$17,662.00 ",,"$10,485.00 ",,"$7,176.00 ","$10,485.00 ",1/1/2016,9/30/2016,,
"WILSON, DAVID J",H,OTH,CHALLENGER,WA,"$134,453.00 ",,"$206,361.15 ","$2,051.44 ","$2,643.29 ","$196,361.15 ",1/1/2015,9/30/2016,,
"WINFREY, JANICE MARIE",H,DEM,CHALLENGER,MI,"$78,488.64 ",,"$79,272.99 ",,"$4,784.35 ","$78,870.99 ",7/1/2015,9/30/2016,,
"WINSTON, SIMON WOOD",H,REP,CHALLENGER,TX,"$32,449.00 ",,"$366,297.07 ",,,"$59,189.07 ",10/1/2015,9/30/2016,,
"WINTEREGG, J D",H,REP,CHALLENGER,OH,"$73,571.19 ",,"$96,527.96 ",$703.87 ,"($13,152.90)","$81,570.95 ",1/1/2015,9/30/2016,,
"WOLF, AUGUST L",S,REP,CHALLENGER,CT,"$591,316.00 ","$21,284.00 ","$743,889.00 ",,"$2,828.00 ","$694,250.00 ",1/1/2015,9/30/2016,,
"WOOLRIDGE, RUBY FAYE MS.",H,DEM,CHALLENGER,TX,"$29,032.00 ",,"$26,269.60 ",,"$7,838.40 ","$26,269.60 ",4/1/2016,9/30/2016,,
"YOUNG, DWIGHT MARK ANTHONY",S,REP,CHALLENGER,FL,$327.00 ,,"$19,550.00 ",,"$1,373.00 ","$18,954.00 ",7/1/2016,9/30/2016,,
"YOUNG, GEOFFREY M",H,DEM,CHALLENGER,KY,"$2,053.00 ",,"$10,774.50 ",,"$2,260.00 ","$10,774.00 ",1/1/2016,9/30/2016,,
"ZOPP, ANDREA",S,DEM,CHALLENGER,IL,"$1,863,687.00 ","$2,377.82 ","$1,992,950.00 ",,$7.00 ,"$1,910,817.00 ",4/1/2015,9/30/2016,,
"RUBENS, JIM",S,REP,CHALLENGER,NH,"$99,761.00 ",,"$99,759.00 ",,,"$98,959.00 ",1/1/2015,9/29/2016,,
"PEREZ, CONNIE",H,DEM,CHALLENGER,CA,"$15,272.95 ",,"$15,272.95 ",,,"$10,768.25 ",10/1/2015,9/27/2016,,
"WALLIN, CHARLIE",H,DEM,CHALLENGER,NC,"$5,571.09 ",,"$5,571.09 ",,,"$3,831.09 ",4/1/2016,9/26/2016,,
"STRAUSS, RAYMOND JOHN",H,REP,CHALLENGER,AZ,"$110,978.20 ",,"$111,269.03 ",,,"$109,978.20 ",7/1/2015,9/21/2016,,
"HILL, RANDAL",H,DEM,CHALLENGER,FL,"$108,066.33 ",,"$128,066.33 ",,,"$126,566.33 ",7/1/2015,9/15/2016,,
"BIRCHER, MARK WILLIAM",H,REP,CHALLENGER,FL,"$6,491.00 ",,"$48,491.00 ",,,"$48,491.00 ",11/30/2015,9/14/2016,,
"KINZLER, GORDON (JAY)",H,REP,CHALLENGER,IL,"$98,291.02 ",,"$202,580.70 ",,$276.96 ,"$200,414.06 ",10/1/2015,9/13/2016,,
"CORNELL, PHILIP L",S,DEM,CHALLENGER,WA,"$11,441.00 ",,"$9,417.00 ",,"$3,116.00 ","$8,630.00 ",1/1/2016,9/9/2016,,
"CHRISTENSEN, PAUL MAKANI",S,DEM,CHALLENGER,HI,"$45,802.00 ",,"$50,218.00 ",,,"$47,442.00 ",6/7/2016,8/31/2016,,
"FOUGHT, STEVEN DEAN",H,DEM,CHALLENGER,OH,$250.00 ,,$114.00 ,,$136.00 ,$114.00 ,7/1/2016,8/24/2016,,
"WEST, BENJAMIN",H,REP,CHALLENGER,OR,"$46,952.00 ",,"$47,138.87 ",,,"$43,667.09 ",1/1/2016,8/23/2016,,
"GONZALEZ, TRAVIS",H,DEM,CHALLENGER,MO,$221.00 ,,,,$221.00 ,,1/1/2016,8/22/2016,,
"DONNELLY, TIM",H,REP,CHALLENGER,CA,"$89,693.70 ",,"$89,883.21 ",,,"$85,806.70 ",1/1/2016,8/17/2016,,
"RAMOS, SANTIAGO",H,DEM,CHALLENGER,WA,"$30,922.45 ",,"$31,422.45 ",,,"$31,242.03 ",4/1/2016,8/16/2016,,
"HAAS, WILLIAM C",H,DEM,CHALLENGER,MO,"$4,764.00 ",,"$12,263.00 ",,,"$12,264.00 ",3/16/2016,8/12/2016,,
"BERUFF, CARLOS",S,REP,CHALLENGER,FL,"$482,811.00 ",,"$8,196,656.00 ",,"$299,002.00 ","$8,196,656.00 ",1/1/2016,8/10/2016,,
"FAHMY, FATIMA RITA",H,DEM,CHALLENGER,FL,"$31,123.50 ",,"$2,466.87 ","$11,507.00 ","$27,870.63 ","$2,466.87 ",10/30/2015,8/10/2016,,
"INVICTUS, AUGUSTUS SOL",S,LIB,CHALLENGER,FL,"$21,486.82 ","$14,555.00 ","$21,288.00 ",,$194.00 ,"$18,598.00 ",5/22/2015,8/10/2016,,
"PEIRO, MARIA MAGDALENA",H,REP,CHALLENGER,FL,"$1,900.00 ",,"$16,305.19 ",,"$1,017.95 ","$16,305.19 ",6/21/2016,8/10/2016,,
"SKOLD, ALIDA",H,DEM,CHALLENGER,WA,"$5,880.26 ",,"$32,256.50 ",,"($26,376.24)","$32,256.50 ",4/1/2016,8/10/2016,,
"METCALFE, MARGARET",H,REP,CHALLENGER,GU,"$9,293.49 ",,"$9,342.49 ","$2,287.00 ","$2,238.00 ","$9,342.49 ",1/1/2015,8/7/2016,,
"MORGAN, YURIPZY",H,REP,CHALLENGER,MD,"$7,650.00 ",,"$15,150.00 ",,,"$8,007.91 ",10/1/2015,8/2/2016,,
"YARBER, KYLE A",H,DEM,CHALLENGER,MO,,,"$2,068.00 ",,$80.00 ,"$2,068.00 ",4/1/2016,8/2/2016,,
"BUNCH, WILLIAM CAREY BILL"" JR""",H,DEM,CHALLENGER,VA,"$5,655.00 ",,"$5,655.30 ",,,"$5,475.00 ",1/1/2016,7/31/2016,,
"MUROFF, DANIEL",H,DEM,CHALLENGER,PA,"$326,779.23 ",,"$389,218.10 ",,,"$314,447.68 ",7/1/2015,7/31/2016,,
"SHOAF, FARREN KENT",H,REP,CHALLENGER,NC,"$14,956.00 ",,"$14,956.00 ",,,"$14,956.00 ",3/24/2016,7/31/2016,,
"HICKS, ANGELA",H,REP,CHALLENGER,GA,"$46,600.00 ",,"$46,599.00 ",,,"$46,599.00 ",2/29/2016,7/28/2016,,
"LEWIS, JOEL ANDREW",H,DEM,CHALLENGER,WI,"$6,488.26 ",,"$6,608.26 ",,$180.13 ,"$6,608.26 ",4/1/2016,7/27/2016,,
"ATKINSON, JACQUIE",H,REP,CHALLENGER,CA,"$196,307.97 ",,"$196,307.97 ",,,"$167,707.97 ",3/18/2015,7/21/2016,,
"HELLAND, ROBERT RANDOLPH",H,UNK,CHALLENGER,MN,"$4,743.00 ",,"$4,162.00 ",,$590.00 ,"$4,162.00 ",1/1/2015,7/20/2016,,
"SCUPIN, MICHAEL LEE",H,REP,CHALLENGER,GA,"$11,076.20 ",,"$11,339.39 ",,,"$10,654.99 ",1/1/2016,7/18/2016,,
"BURK, JOHN GUNTHER JR",H,REP,CHALLENGER,KY,"$1,150.00 ",,"$1,150.00 ",,,"$1,150.00 ",1/1/2016,7/16/2016,,
"BURK, JOHN GUNTHER JR",H,REP,CHALLENGER,NC,"$1,150.00 ",,"$1,150.00 ",,,"$1,150.00 ",1/1/2016,7/16/2016,,
"PHILLIPS, WILLIAM CALVIN JR",H,DEM,CHALLENGER,FL,"$36,575.00 ",,"$40,825.00 ",,,"$33,875.00 ",10/19/2015,7/15/2016,,
"SMITH, GEOFFERY SUHMER",H,REP,CHALLENGER,TN,"$7,812.86 ",,"$7,688.82 ",,$124.04 ,"$7,688.82 ",1/1/2016,7/15/2016,,
"TURNER, RICHARD L",H,NON,CHALLENGER,HI,,,,,$66.34 ,,4/16/2016,7/15/2016,,
"VINCE, LOU",H,DEM,CHALLENGER,CA,"$93,555.15 ",,"$93,719.65 ",,,"$93,555.15 ",4/1/2015,7/15/2016,,
"VAKIL, TEJAS",H,DEM,CHALLENGER,TX,"$46,102.36 ",,"$54,102.36 ",,,"$48,743.89 ",12/1/2015,7/14/2016,,
"BERRY, PAUL III",H,REP,CHALLENGER,MO,,,,,,,7/1/2016,7/13/2016,,
"MCLAUGHLIN, NATHANIEL WELTON JR",H,DEM,CHALLENGER,KS,"$2,724.00 ",,"$18,590.00 ",,$49.00 ,"$18,090.00 ",8/23/2015,7/13/2016,,
"SWINTON, JONATHAN JEFFREY",S,DEM,CHALLENGER,UT,"$30,631.00 ",,"$45,254.00 ",,,"$30,630.00 ",7/1/2015,7/12/2016,,
"ASH, JAMES",H,REP,CHALLENGER,CA,"$21,778.00 ",,"$35,278.00 ",,,"$35,117.51 ",1/1/2015,7/11/2016,,
"HOGG, ROBERT M",S,DEM,CHALLENGER,IA,"$278,349.00 ",,"$282,038.00 ",,$5.00 ,"$280,344.00 ",7/1/2015,7/11/2016,,
"BRADELL, KYLE",H,REP,CHALLENGER,CO,"$1,858.90 ",,"$1,858.90 ",,,"$1,858.90 ",1/1/2016,7/10/2016,,
"KELLER, RICHARD ANTHONY",H,REP,CHALLENGER,FL,"$23,350.00 ",,"$23,350.00 ",,,"$22,861.43 ",4/1/2016,7/9/2016,,
"ALM, VANCE STEVEN",H,DEM,CHALLENGER,NV,"$10,791.45 ",,"$10,773.84 ",,$17.61 ,"$7,219.69 ",1/1/2016,7/7/2016,,
"ITKIS, MIKHAIL",H,NPA,CHALLENGER,NY,"$2,100.00 ",,$321.68 ,,"$1,778.32 ",$321.68 ,6/15/2016,7/7/2016,,
"ROGERS, EVELYN L (LOUISE)",H,REP,CHALLENGER,OK,"$1,147.00 ",,$6.00 ,,,"$1,140.00 ",4/11/2016,7/2/2016,,
"ALLVORD, TERRY",H,REP,CHALLENGER,CA,"$13,081.36 ",,"$19,253.77 ",,,"$13,011.15 ",1/1/2016,6/30/2016,,
"BACALLAO, MARY KAY",S,REP,CHALLENGER,GA,"$2,742.00 ",,"$10,201.00 ",,,"$1,737.00 ",3/8/2016,6/30/2016,,
"BALDACCI, JOSEPH M.",H,DEM,CHALLENGER,ME,"$165,991.31 ",,"$190,685.02 ",,$6.29 ,"$159,589.52 ",4/23/2015,6/30/2016,,
"BEAGLE, WILLIAM",H,REP,CHALLENGER,OH,"$309,261.63 ",,"$501,672.33 ",,,"$501,622.33 ",10/1/2015,6/30/2016,,
"BUSH, CORI",S,DEM,CHALLENGER,MO,"$6,476.67 ",,"$7,670.00 ","$1,465.00 ",$271.00 ,,1/28/2016,6/30/2016,,
"CANADA, MIKE",H,REP,CHALLENGER,CA,,,"$17,000.00 ",,,"$14,418.40 ",10/1/2015,6/30/2016,,
"CONKLIN, ERIC MICHAEL",S,IND,CHALLENGER,IL,"$3,281.00 ",,"$2,986.00 ",,$295.00 ,"$2,986.00 ",4/1/2016,6/30/2016,,
"CUNNINGHAM, CARLA DELLETTE",H,DEM,CHALLENGER,NC,"$4,877.99 ",,"$42,590.80 ",,$13.10 ,"$37,482.19 ",1/1/2016,6/30/2016,,
"DAVIDSON, ALLEN RAY",H,DEM,CHALLENGER,IN,$629.97 ,,"$1,889.09 ",,,"$1,889.09 ",10/1/2015,6/30/2016,,
"DERICKSON, TIMOTHY",H,REP,CHALLENGER,OH,"$295,011.94 ",,"$315,411.94 ",,,"$304,961.94 ",10/1/2015,6/30/2016,,
"DETERT, RYAN",H,REP,CHALLENGER,CA,"$1,482.59 ",,"$10,325.81 ",,,"$9,445.92 ",1/1/2016,6/30/2016,,
"EMERY, ED",H,DEM,CHALLENGER,FL,"$83,513.55 ",,"$111,271.37 ",,"$71,794.81 ","$103,059.18 ",7/1/2015,6/30/2016,,
"ESPINOZA, MARIA L",H,REP,CHALLENGER,TX,"$28,337.48 ",,"$87,749.97 ",,"$14,567.67 ","$87,749.97 ",12/6/2015,6/30/2016,,
"FERGUSON, JENNIFER GIGI",H,DEM,CHALLENGER,WA,"$11,495.04 ",,"$9,390.85 ",,"$2,104.19 ","$8,817.79 ",7/1/2015,6/30/2016,,
"FRAZIER, RYAN LAVAR",S,REP,CHALLENGER,CO,"$266,503.00 ",,"$417,759.00 ",,"$2,183.00 ","$417,759.00 ",10/1/2015,6/30/2016,,
